status_id,status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,Column1,Column2,Column3,Column4,
1,status,11/21/2015 8:01,1052,12,7,1052,0,0,0,0,0,,,,,1
2,photo,11/21/2015 4:13,948,7,0,948,0,0,0,0,0,,,,,2
3,photo,11/19/2015 20:42,1552,23,0,1552,0,0,0,0,0,,,,,3
4,photo,11/19/2015 20:38,1580,14,1,1580,0,0,0,0,0,,,,,4
5,status,11/16/2015 21:58,1241,6,0,1241,0,0,0,0,0,,,,,5
6,status,11/16/2015 3:07,1054,9,0,1054,0,0,0,0,0,,,,,6
7,status,11/15/2015 20:41,954,10,0,954,0,0,0,0,0,,,,,7
8,status,11/11/2015 22:49,1014,14,2,1014,0,0,0,0,0,,,,,8
9,status,11/11/2015 3:44,1768,0,1,1768,0,0,0,0,0,,,,,9
10,status,11/11/2015 2:22,951,13,1,951,0,0,0,0,0,,,,,
11,status,11/10/2015 2:11,1223,34,0,1223,0,0,0,0,0,,,,,
12,status,11/8/2015 7:21,987,13,1,987,0,0,0,0,0,,,,,
13,status,11/8/2015 0:02,2799,67,2,2799,0,0,0,0,0,,,,,
14,photo,11/6/2015 21:19,102,1,0,102,0,0,0,0,0,,,,,
15,photo,11/6/2015 20:46,160,3,0,160,0,0,0,0,0,,,,,
16,photo,11/6/2015 0:38,1575,15,3,1575,0,0,0,0,0,,,,,
17,status,11/5/2015 3:17,945,9,2,945,0,0,0,0,0,,,,,
18,photo,11/4/2015 3:35,1194,14,0,1194,0,0,0,0,0,,,,,
19,status,11/4/2015 2:37,1339,9,1,1339,0,0,0,0,0,,,,,
20,status,11/3/2015 1:46,963,6,0,963,0,0,0,0,0,,,,,
21,photo,11/2/2015 20:37,1145,25,0,1145,0,0,0,0,0,,,,,
22,status,11/2/2015 5:21,950,8,3,950,0,0,0,0,0,,,,,
23,photo,11/1/2015 22:07,2024,23,1,2024,0,0,0,0,0,,,,,
24,status,11/1/2015 4:47,950,13,0,950,0,0,0,0,0,,,,,
25,photo,11/1/2015 4:28,951,10,0,951,0,0,0,0,0,,,,,
26,status,11/1/2015 2:07,974,10,0,974,0,0,0,0,0,,,,,
27,photo,10/31/2015 23:58,1139,57,0,1139,0,0,0,0,0,,,,,
28,status,10/31/2015 23:46,1061,5,0,1061,0,0,0,0,0,,,,,
29,status,10/31/2015 6:21,1018,10,0,1018,0,0,0,0,0,,,,,
30,status,10/30/2015 6:42,991,10,1,991,0,0,0,0,0,,,,,
31,photo,10/30/2015 5:11,952,4,0,952,0,0,0,0,0,,,,,
32,photo,10/30/2015 1:34,1999,22,0,1999,0,0,0,0,0,,,,,
33,status,10/30/2015 1:33,1251,17,1,1251,0,0,0,0,0,,,,,
34,status,10/29/2015 23:43,968,9,0,968,0,0,0,0,0,,,,,
35,status,10/28/2015 22:33,1338,6,1,1338,0,0,0,0,0,,,,,
36,photo,10/28/2015 7:42,948,5,0,948,0,0,0,0,0,,,,,
37,photo,10/28/2015 6:29,1,0,0,1,0,0,0,0,0,,,,,
38,photo,10/28/2015 6:19,1914,0,2,1914,0,0,0,0,0,,,,,
39,status,10/28/2015 4:32,1377,5,0,1377,0,0,0,0,0,,,,,
40,status,10/28/2015 4:13,1244,13,1,1244,0,0,0,0,0,,,,,
41,status,10/27/2015 19:36,948,3,0,948,0,0,0,0,0,,,,,
42,status,10/27/2015 8:32,1229,5,0,1229,0,0,0,0,0,,,,,
43,status,10/27/2015 6:38,1363,12,0,1363,0,0,0,0,0,,,,,
44,status,10/27/2015 6:29,956,6,0,956,0,0,0,0,0,,,,,
45,photo,10/26/2015 9:41,1080,28,0,1080,0,0,0,0,0,,,,,
46,status,10/25/2015 3:48,994,9,0,994,0,0,0,0,0,,,,,
47,status,10/24/2015 23:37,1419,7,0,1419,0,0,0,0,0,,,,,
48,photo,10/24/2015 9:09,954,6,1,954,0,0,0,0,0,,,,,
49,status,10/24/2015 7:25,550,1,0,550,0,0,0,0,0,,,,,
50,status,10/24/2015 6:55,549,6,0,549,0,0,0,0,0,,,,,
51,photo,10/24/2015 3:18,1143,154,64,1143,0,0,0,0,0,,,,,
52,status,10/24/2015 3:10,1356,10,1,1356,0,0,0,0,0,,,,,
53,photo,10/23/2015 14:19,1774,2,0,1774,0,0,0,0,0,,,,,
54,status,10/21/2015 23:51,1230,49,0,1230,0,0,0,0,0,,,,,
55,photo,10/21/2015 23:01,1451,14,4,1451,0,0,0,0,0,,,,,
56,photo,10/21/2015 2:06,1784,3,0,1784,0,0,0,0,0,,,,,
57,status,10/21/2015 1:50,1983,8,1,1983,0,0,0,0,0,,,,,
58,photo,10/20/2015 22:02,2632,11,0,2632,0,0,0,0,0,,,,,
59,photo,10/19/2015 3:14,2166,8,0,2166,0,0,0,0,0,,,,,
60,status,10/16/2015 23:09,1218,12,1,1218,0,0,0,0,0,,,,,
